,1 t2,2 xt,3 Sx,4 yt,5 Sy
0,0.0,0.0,0.0,0.0,0.0
1,0.08080808080808081,0.002009270056486699,0.0026627563534717125,0.00012769286968987244,0.0028076395054455676
2,0.16161616161616163,0.007980462132617125,0.010190239384224004,0.001018459983209664,0.006164570641758767
3,0.24242424242424243,0.01774473075467039,0.021891270047762756,0.0034200165302464424,0.010620085039807228
4,0.32323232323232326,0.031024012861463817,0.03707466929959366,0.008049619130844864,0.01672347433045859
5,0.4040404040404041,0.04743598897541613,0.0550492580952226,0.015579481171166894,0.025024030144580482
6,0.48484848484848486,0.06650091396353756,0.07512385739015529,0.02662294991927154,0.036071044113040525
7,0.5656565656565657,0.08765020474436,0.09660728813989755,0.041721679943293226,0.05041380786670638
8,0.6464646464646465,0.11023664326453377,0.11880837129995514,0.0613340211257115,0.06860161303644564
9,0.7272727272727273,0.13354602633023793,0.14103592782583385,0.08582481977833838,0.09118375125312596
10,0.8080808080808082,0.1568100698669212,0.16259877867303957,0.11545680833260358,0.11870951414761502
11,0.888888888888889,0.17922035428551286,0.182805744797078,0.15038373318043533,0.15172819335078033
12,0.9696969696969697,0.199943080193199,0.20096564715345494,0.19064534189060794,0.19078908049348964
13,1.0505050505050506,0.2181343899855264,0.21639308011131653,0.2361643206815621,0.23638282748574294
14,1.1313131313131315,0.23295600111711787,0.22848101790339123,0.28674524118436756,0.28820399338704145
15,1.2121212121212122,0.243590891229909,0.23667892184146494,0.3420755426930015,0.3453734062279174
16,1.292929292929293,0.2492587739133895,0.24043750029467012,0.4017285428038465,0.4069992278591963
17,1.373737373737374,0.2492311067057378,0.2392074616321391,0.46516843613019654,0.47218962013170285
18,1.4545454545454546,0.24284537997452896,0.23243951422300427,0.5317572081773893,0.540052744896262
19,1.5353535353535355,0.2295184464297492,0.21958436643639795,0.6007633600069608,0.6096967640036992
20,1.6161616161616164,0.20875866604319115,0.20009272664145256,0.6713723095126887,0.6802298393048392
21,1.696969696969697,0.180176659836889,0.17341530320730048,0.7426983074598364,0.7507601326505069
22,1.777777777777778,0.14349448805988446,0.13900280450307398,0.8137976813493739,0.8203958058915277
23,1.8585858585858588,0.09855309334371443,0.09630593889790545,0.883683198067984,0.8882450208787267
24,1.9393939393939394,0.0453178771102847,0.04477541476092742,0.9513393175309165,0.9534159394629282
25,2.0202020202020203,-0.016117692643215463,-0.016133937098119444,1.0157380944229089,1.01501724604471
26,2.101010101010101,-0.0855305125185914,-0.08646847055586404,1.0758554739386175,1.072220853544613
27,2.181818181818182,-0.16256835146603657,-0.16530576594593477,1.1306877203016477,1.1243214740748448
28,2.262626262626263,-0.24675243934915628,-0.25161209770553006,1.1792677139180858,1.1706279285909116
29,2.3434343434343434,-0.3374821070725462,-0.3443537402718476,1.2206808543466452,1.2104490380483188
30,2.4242424242424243,-0.4340414159460279,-0.4424969680820874,1.254080311824971,1.243093623402573
31,2.505050505050505,-0.5356076818399681,-0.545008055573447,1.2787013797940128,1.267870505609179
32,2.585858585858586,-0.6412617690369408,-0.6508532771831249,1.293874694556752,1.284088505623643
33,2.666666666666667,-0.7500000000000004,-0.7589989073483195,1.299038105676658,1.2910564444014712
34,2.747474747474748,-0.8607475010195467,-0.8684112205062299,1.2937470016870618,1.2880831428981687
35,2.8282828282828287,-0.9723727802926495,-0.9780564910940538,1.277682919810803,1.2744774220692419
36,2.909090909090909,-1.0837033148086423,-1.0869009935489893,1.2506602952947246,1.249548102870196
37,2.98989898989899,-1.1935419057889176,-1.1939110023082362,1.2126312352158002,1.2126040062565373
38,3.070707070707071,-1.30068354962626,-1.2980686340560215,1.1636882327469187,1.1631465450718905
39,3.151515151515152,-1.4039325624975012,-1.3984485186567466,1.104064770382376,1.1018018014074111
40,3.2323232323232327,-1.5021196922257691,-1.494158771773928,1.0341337939953237,1.029602939333516
41,3.3131313131313136,-1.5941189506213185,-1.58430755525839,0.9544040732971973,0.9475836844130059
42,3.393939393939394,-1.6788639034405222,-1.6680030309609577,0.8655144977525784,0.8567777622086832
43,3.474747474747475,-1.7553631632106355,-1.7443533607324568,0.7682263897353802,0.7582188982833487
44,3.555555555555556,-1.8227148423453976,-1.812466706423712,0.663413948168938,0.6529408181998042
45,3.6363636363636367,-1.880119740030088,-1.8714512298855486,0.5520529655692284,0.5419772475208512
46,3.7171717171717176,-1.926893056028718,-1.920415092968791,0.43520798883112594,0.42636191180929117
47,3.7979797979797985,-1.9624744475468672,-1.958466457524265,0.31401811882259256,0.30712853662792594
48,3.878787878787879,-1.9864362712044379,-1.9847134854027948,0.1896816654843882,0.1853108475395575
49,3.95959595959596,-1.9984898806191274,-1.9982643384552063,0.06343989332634992,0.061942570106986006
50,4.040404040404041,-1.9984898806191274,-1.998264338455206,-0.06343989332635032,-0.06194257010698619
51,4.121212121212122,-1.9864362712044379,-1.9847134854027946,-0.18968166548438858,-0.1853108475395583
52,4.202020202020202,-1.962474447546867,-1.9584664575242645,-0.3140181188225938,-0.3071285366279268
53,4.282828282828283,-1.9268930560287179,-1.920415092968791,-0.4352079888311263,-0.4263619118092914
54,4.363636363636364,-1.880119740030088,-1.8714512298855481,-0.5520529655692288,-0.541977247520852
55,4.444444444444445,-1.8227148423453976,-1.812466706423712,-0.6634139481689383,-0.6529408181998043
56,4.525252525252526,-1.755363163210635,-1.7443533607324562,-0.7682263897353813,-0.7582188982833494
57,4.606060606060606,-1.6788639034405222,-1.6680030309609575,-0.8655144977525787,-0.8567777622086834
58,4.686868686868687,-1.594118950621319,-1.5843075552583898,-0.954404073297197,-0.947583684413006
