,P20(x),f(x),x
0,0.038461538461538464,0.038461538461538464,-1.0
1,-39.95244903305324,0.042440318302387266,-0.95
2,0.047058823529411764,0.047058823529411764,-0.9
3,3.4549577998650953,0.05245901639344262,-0.85
4,0.058823529411764705,0.058823529411764705,-0.8
5,-0.4470519607089808,0.06639004149377593,-0.75
6,0.07547169811320754,0.07547169811320754,-0.7
7,0.20242261570459236,0.08648648648648652,-0.6499999999999999
8,0.09999999999999999,0.1,-0.6
9,0.08065999342164604,0.1167883211678832,-0.55
10,0.13793103448275862,0.13793103448275862,-0.5
11,0.179762629900602,0.16494845360824745,-0.44999999999999996
12,0.20000000000000007,0.20000000000000007,-0.3999999999999999
13,0.23844593373813067,0.24615384615384617,-0.35
14,0.30769230769230776,0.30769230769230776,-0.29999999999999993
15,0.3950930536877808,0.3902439024390244,-0.25
16,0.5000000000000002,0.5000000000000001,-0.19999999999999996
17,0.6367553359164324,0.6400000000000002,-0.1499999999999999
18,0.8,0.8,-0.09999999999999998
19,0.9424903797439861,0.9411764705882355,-0.04999999999999993
20,1.0,1.0,0.0
21,0.9424903797439829,0.9411764705882353,0.050000000000000044
22,0.7999999999999994,0.7999999999999997,0.10000000000000009
23,0.6367553359164357,0.6399999999999997,0.15000000000000013
24,0.5000000000000004,0.49999999999999956,0.20000000000000018
25,0.39509305368777736,0.3902439024390244,0.25
26,0.3076923076923084,0.30769230769230765,0.30000000000000004
27,0.23844593373814518,0.24615384615384606,0.3500000000000001
28,0.19999999999998908,0.1999999999999999,0.40000000000000013
29,0.1797626299005735,0.16494845360824734,0.4500000000000002
30,0.13793103448278998,0.13793103448275862,0.5
31,0.08065999342166136,0.1167883211678832,0.55
32,0.09999999999951115,0.09999999999999998,0.6000000000000001
33,0.20242261570308262,0.08648648648648645,0.6500000000000001
34,0.07547169811380172,0.07547169811320752,0.7000000000000002
35,-0.44705196070842823,0.06639004149377593,0.75
36,0.0588235294126207,0.058823529411764705,0.8
37,3.4549577998468877,0.052459016393442616,0.8500000000000001
38,0.04705882351800028,0.04705882352941175,0.9000000000000001
39,-39.95244903311868,0.04244031830238725,0.9500000000000002
40,0.03846153844278888,0.038461538461538464,1.0
