,1 x,2 f(x),3 S(x;t)
0,-1.0,0.038461538461538464,0.038461538461538464
1,-0.95,0.042440318302387266,0.04243939551307015
2,-0.9,0.047058823529411764,0.04705882352941176
3,-0.85,0.05245901639344262,0.05245669455438474
4,-0.8,0.058823529411764705,0.058823529411764705
5,-0.75,0.06639004149377593,0.06638724554711652
6,-0.7,0.07547169811320754,0.07547169811320754
7,-0.6499999999999999,0.08648648648648652,0.08647545533262091
8,-0.6,0.1,0.1
9,-0.55,0.1167883211678832,0.11678638568468698
10,-0.5,0.13793103448275862,0.13793103448275862
11,-0.44999999999999996,0.16494845360824745,0.16486468833071308
12,-0.3999999999999999,0.20000000000000007,0.20000000000000004
13,-0.35,0.24615384615384617,0.24626812359193034
14,-0.29999999999999993,0.30769230769230776,0.30769230769230776
15,-0.25,0.3902439024390244,0.3894195812272949
16,-0.19999999999999996,0.5000000000000001,0.5000000000000001
17,-0.1499999999999999,0.6400000000000002,0.6431689361142748
18,-0.09999999999999998,0.8,0.7999999999999999
19,-0.04999999999999993,0.9411764705882355,0.9388662127771452
20,0.0,1.0,1.0
21,0.050000000000000044,0.9411764705882353,0.9388662127771448
22,0.10000000000000009,0.7999999999999997,0.7999999999999997
23,0.15000000000000013,0.6399999999999997,0.6431689361142741
24,0.20000000000000018,0.49999999999999956,0.49999999999999944
25,0.25,0.3902439024390244,0.389419581227295
26,0.30000000000000004,0.30769230769230765,0.3076923076923078
27,0.3500000000000001,0.24615384615384606,0.2462681235919303
28,0.40000000000000013,0.1999999999999999,0.19999999999999987
29,0.4500000000000002,0.16494845360824734,0.16486468833071294
30,0.5,0.13793103448275862,0.13793103448275867
31,0.55,0.1167883211678832,0.116786385684687
32,0.6000000000000001,0.09999999999999998,0.09999999999999999
33,0.6500000000000001,0.08648648648648645,0.08647545533262085
34,0.7000000000000002,0.07547169811320752,0.07547169811320752
35,0.75,0.06639004149377593,0.06638724554711653
36,0.8,0.058823529411764705,0.058823529411764726
37,0.8500000000000001,0.052459016393442616,0.052456694554384724
38,0.9000000000000001,0.04705882352941175,0.04705882352941175
39,0.9500000000000002,0.04244031830238725,0.04243939551307013
40,1.0,0.038461538461538464,0.03846153846153848
